,mix,SDR,SIR,SAR,PESQ
0,mix_0,"[[-17.069044008415528], [-19.075894028940937]]","[[2.6752860304896875], [0.5818220955975363]]","[[-15.147255625523883], [-16.299522242165526]]","[1.0247418880462646, 1.0264379978179932]"
1,mix_1,"[[-18.337136202879897], [-13.457945461510212]]","[[1.6300755293341884], [3.05708682162188]]","[[-16.021859436201428], [-11.614584925789359]]","[1.0536715984344482, 1.0284733772277832]"
2,mix_10,"[[-15.139187247421532], [-20.111132596237624]]","[[5.166741657040355], [0.029240042038632418]]","[[-13.944691368552215], [-17.07317500983563]]","[1.0532764196395874, 1.0292764902114868]"
3,mix_11,"[[-21.24172847078424], [-18.964291162477803]]","[[0.3822814849974416], [2.126926014614753]]","[[-18.388380939904827], [-16.854616881689264]]","[1.0228641033172607, 1.0225387811660767]"
4,mix_12,"[[-20.961478873540358], [-18.56597937643512]]","[[-1.0836117722560068], [1.4838763634284122]]","[[-17.330764316931273], [-16.191400666490225]]","[1.0745307207107544, 1.0445177555084229]"
5,mix_13,"[[-16.38753200980026], [-19.494678096804698]]","[[3.2215582178504403], [-2.2645824079159675]]","[[-14.64812149239606], [-15.123155031143066]]","[1.09566068649292, 1.0202555656433105]"
6,mix_14,"[[-19.711631555255263], [-18.63485531627998]]","[[0.5290159107217234], [1.213082740375296]]","[[-16.916505538606586], [-16.14366700649515]]","[1.0245505571365356, 1.0307618379592896]"
7,mix_15,"[[-19.16951825904311], [-17.4686272412698]]","[[-1.3570871183642375], [3.6507278220887613]]","[[-15.355410809902859], [-15.877182794642215]]","[1.0324125289916992, 1.0877068042755127]"
8,mix_16,"[[-20.97322473679968], [-18.114534266797865]]","[[-1.3048923806445232], [1.4208184889673459]]","[[-17.214522049567307], [-15.708192701019605]]","[1.0770081281661987, 1.1625417470932007]"
9,mix_17,"[[-21.426916871879126], [-23.26604684959463]]","[[1.1774486870651855], [-1.057841268625647]]","[[-18.941651530790562], [-19.66849905309856]]","[1.0313931703567505, 1.038377285003662]"
10,mix_18,"[[-19.337661123960718], [-19.617528040994824]]","[[2.012524580882501], [-0.7375052852311713]]","[[-17.186134130327858], [-16.166266320790825]]","[1.0862969160079956, 1.0718170404434204]"
11,mix_19,"[[-20.62165660626931], [-20.05556735642459]]","[[0.20952335718285559], [2.0887356473989174]]","[[-17.678841371547517], [-17.93866736926328]]","[1.0245980024337769, 1.0945130586624146]"
12,mix_2,"[[-16.994289781796734], [-21.303354451261754]]","[[6.089429484906217], [-4.725196697490327]]","[[-16.01746520667461], [-15.220662808858263]]","[1.0876057147979736, 1.0822325944900513]"
13,mix_20,"[[-17.234569516649834], [-17.670433110429265]]","[[-2.386034584359441], [3.964262722932101]]","[[-12.72481957958697], [-16.174912892819123]]","[1.0344634056091309, 1.0214093923568726]"
14,mix_21,"[[-17.86902327262768], [-18.807243456192047]]","[[0.7148295366671844], [3.299188352355493]]","[[-15.14085405341473], [-17.11368645654433]]","[1.394890546798706, 1.0299522876739502]"
15,mix_22,"[[-15.650174316698278], [-20.142912726616508]]","[[4.375469645060798], [-0.8474114695446631]]","[[-14.25502965385017], [-16.63689020312443]]","[1.304064393043518, 1.098272681236267]"
16,mix_23,"[[-15.303365436691259], [-19.369987358683336]]","[[3.460236412699107], [0.6628223567283829]]","[[-13.629193250561933], [-16.63514789597822]]","[1.0270991325378418, 1.024086833000183]"
17,mix_24,"[[-15.828327535987679], [-15.636500771371267]]","[[4.273492582957564], [2.606707109392442]]","[[-14.406429625624014], [-13.671272903504716]]","[1.063144326210022, 1.4669657945632935]"
18,mix_25,"[[-19.2156926845966], [-20.734758281092134]]","[[1.6789308704824466], [-0.047801444641312765]]","[[-16.928737443196507], [-17.66325703446948]]","[1.0533568859100342, 1.026099681854248]"
19,mix_26,"[[-15.973117083894273], [-17.04445501522219]]","[[4.628530688988971], [3.9501822168664704]]","[[-14.649640707781122], [-15.540128675159329]]","[1.028140902519226, 1.0213932991027832]"
20,mix_27,"[[-19.3248977076952], [-18.364012644465053]]","[[3.410718775558184], [0.16802833942630493]]","[[-17.670204625787264], [-15.375588528696278]]","[1.1103917360305786, 1.0213605165481567]"
21,mix_28,"[[-19.52755076737962], [-13.534167841711218]]","[[-2.4584948671038678], [6.282817764156797]]","[[-15.030177075716693], [-12.57072338661074]]","[1.2028746604919434, 1.0479192733764648]"
22,mix_29,"[[-17.555590523656008], [-15.973704627994085]]","[[0.4288398675005436], [9.52758801896415]]","[[-14.684785966400927], [-15.502390022048331]]","[1.0515568256378174, 1.0249370336532593]"
23,mix_3,"[[-19.140119322068784], [-23.603235946465652]]","[[4.6109715096558705], [-2.0375559877740583]]","[[-17.831765858173515], [-19.4253541702702]]","[1.044229507446289, 1.0210485458374023]"
24,mix_30,"[[-21.519444342461295], [-17.432326062398232]]","[[1.1536016635437012], [4.347673162965279]]","[[-19.024222054151803], [-16.04419688996916]]","[1.0217888355255127, 1.0343469381332397]"
25,mix_31,"[[-17.224533054755234], [-20.622132650407682]]","[[2.1727818399079593], [-0.7996871353925805]]","[[-15.115953848178005], [-17.14812970882333]]","[1.0240944623947144, 1.0349938869476318]"
26,mix_32,"[[-22.47590730717539], [-15.058839150310327]]","[[-0.8126747216536756], [9.931423319201999]]","[[-19.010575706508483], [-14.6248468327362]]","[1.0475833415985107, 1.1948161125183105]"
27,mix_33,"[[-21.917463337575995], [-14.543428931598509]]","[[-5.682906599784749], [6.154352804430988]]","[[-15.091180597573683], [-13.563610155073086]]","[1.0624521970748901, 1.03793203830719]"
28,mix_34,"[[-18.571573006615804], [-16.674600980388767]]","[[2.1668191867105464], [3.2961980520979672]]","[[-16.4741309055167], [-14.962968079385872]]","[1.0190781354904175, 1.0303758382797241]"
29,mix_35,"[[-18.698649371855797], [-17.983166557008673]]","[[1.706416904023273], [1.326451179345591]]","[[-16.418538229254324], [-15.53443306347342]]","[1.0609608888626099, 1.0371201038360596]"
30,mix_36,"[[-17.267798348771663], [-16.38605674112776]]","[[2.654710021230894], [-0.04428892970180087]]","[[-15.340654089877264], [-13.25153271950661]]","[1.02608323097229, 1.1258704662322998]"
31,mix_37,"[[-18.677241302726998], [-22.76068947049812]]","[[4.215844475448764], [-2.9509393877546017]]","[[-17.259846949241698], [-17.983347420518598]]","[1.024194359779358, 1.0243064165115356]"
32,mix_38,"[[-18.92418673791521], [-18.21239936365266]]","[[1.827191278892024], [0.41937428685184175]]","[[-16.695405230386804], [-15.346802584569446]]","[1.0344699621200562, 1.0255361795425415]"
33,mix_39,"[[-12.553228360100935], [-18.48539842196591]]","[[6.92801960716004], [1.732147623757231]]","[[-11.701857469702064], [-16.213876789358633]]","[1.039814829826355, 1.0470107793807983]"
34,mix_4,"[[-15.832820686613328], [-17.485780516180288]]","[[1.7656803090452673], [-1.1227937128491086]]","[[-13.54007793171749], [-13.776379399391246]]","[1.0357598066329956, 1.114884376525879]"
35,mix_40,"[[-21.465522529573462], [-19.096758923475598]]","[[-0.3536109984785802], [1.5106791426920807]]","[[-18.24106865408044], [-16.738515591071813]]","[1.0275293588638306, 1.0276199579238892]"
36,mix_41,"[[-17.280905428086964], [-17.81835089708231]]","[[3.667511203549277], [-0.5686282323572807]]","[[-15.69315471810459], [-14.431845599979528]]","[1.0234088897705078, 1.0316728353500366]"
37,mix_42,"[[-8.326141003104974], [-20.27305626009283]]","[[11.916599378345307], [-4.510244165503727]]","[[-8.014158331913034], [-14.329928566530414]]","[1.0339981317520142, 1.6399075984954834]"
38,mix_43,"[[-20.48158206526621], [-22.19225595691158]]","[[4.078507846911958], [2.0222173651566338]]","[[-19.033163918227], [-20.05992379579949]]","[1.682800054550171, 1.0183300971984863]"
39,mix_44,"[[-23.01464180049269], [-26.048211643830562]]","[[1.1847658516034811], [-0.796434677062726]]","[[-20.539903412561916], [-22.608483592600685]]","[1.0471495389938354, 1.0253889560699463]"
